#Source_name;Variability_index;ASSOC1;ASSOC2;ASSOC_TEV;CLASS1;Flags
3FGL J0310.8+3814;101.942;B3 0307+380;;;fsrq;0
3FGL J0312.1-0921;47.5598;;;;;0
3FGL J0312.7-2222;35.8184;;;;;0
3FGL J0312.7+2011;44.401;;;;;0
3FGL J0312.7+0133;254.416;PKS 0310+013;;;fsrq;0
3FGL J0312.7+3613;59.0852;V Zw 326;;;bll;0
3FGL J0314.3-5103;50.8798;PMN J0314-5104;;;bll;0
3FGL J0315.5-1026;110.813;PKS 0313-107;;;fsrq;0
3FGL J0316.1+0904;83.3035;GB6 J0316+0904;;;bll;0
3FGL J0316.1-2611;56.741;RBS 0405;;;bll;0
3FGL J0316.2-6436;56.8508;SUMSS J031614-643732;;;bll;0
3FGL J0316.6+4119;38.7422;IC 310;;IC 310;rdg;0
3FGL J0318.1+0252;50.2197;;;;;0
3FGL J0318.7+2134;98.3236;MG3 J031849+2135;;;bcu;0
3FGL J0319.8+4130;622.205;NGC 1275;;NGC 1275;RDG;0
3FGL J0319.8+1847;76.3268;RBS 0413;;RBS 0413;bll;0
3FGL J0322.0+2335;56.5815;MG3 J032201+2336;;;bll;0
3FGL J0322.5-3721;49.2827;;;;;0
3FGL J0323.6-0109;41.1454;1RXS J032342.6-011131;;;bll;0
3FGL J0323.7-6038;50.7555;;;;;0
3FGL J0324.5-1315;40.068;;;;;0
3FGL J0325.2+3410;178.096;1H 0323+342;;;nlsy1;0
3FGL J0325.2-5634;37.1903;1RXS J032521.8-563543;;;bll;0
3FGL J0325.5+2223;261.052;TXS 0322+222;;;fsrq;0
3FGL J0325.6-1648;67.4403;RBS 0421;;;bll;0
3FGL J0326.0-1842;43.2391;PMN J0325-1843;;;bcu;0
3FGL J0326.2+0225;59.085;1H 0323+022;;;bll;0
3FGL J0327.4+5828c;52.9805;;;;;33
3FGL J0330.6+0437;61.66;;;;;0
3FGL J0331.3-6155;61.946;PMN J0331-6155;;;bcu;0
3FGL J0332.0+6308;70.8276;GB6 J0331+6307;;;bcu;0
3FGL J0332.4+6110;47.0921;;;;;264
3FGL J0332.4+4644;39.388;;;;;1
3FGL J0333.4+7853;48.2097;NVSS J033344+785027;;;bcu;0
3FGL J0333.4+4003;44.947;B3 0330+399;;;bcu;0
3FGL J0333.6+0233;38.3313;;;;;0
3FGL J0333.6+2916;54.8561;TXS 0330+291;;;bll;0
3FGL J0333.9+6538;45.7303;TXS 0329+654;;;bll;0
3FGL J0334.2+3915;24.2546;4C +39.12;;;rdg;0
3FGL J0334.3-4008;408.708;PKS 0332-403;;;bll;0
3FGL J0334.3-3726;123.08;PMN J0334-3725;;;bll;0
3FGL J0335.3-4459;51.2845;1RXS J033514.5-445929;;;bll;0
3FGL J0336.1+7500;33.8483;;;;;0
3FGL J0336.5+3210;118.502;NRAO 140;;;fsrq;4
3FGL J0336.9-3622;33.5331;PKS 0335-364;;;fsrq;0
